run_id,seed,kp,ki,kd,target_speed_m_s,dt_s,steps,noise_sigma,overshoot_m_s,settling_time_s,steady_state_error_m_s,mean_abs_error_m_s,duration_s,sample_count,tolerance_m_s,target_ref_m_s,overshoot_ratio,ss_err_ratio,label
62,42,0.324685,0.250667,0.047737,26.873575,0.100000,300,0.000000,0.824174,11.800000,0.000207,3.712718,29.900000,300,0.537472,26.873575,1.533428,0.000385,reduce_ki
63,42,0.838859,0.104999,0.063235,37.555935,0.100000,300,0.000000,0.000000,11.400000,0.008351,7.140140,29.900000,300,0.751119,37.555935,0.000000,0.011118,no_change
64,42,0.179797,0.160400,0.199691,44.882893,0.100000,300,0.000000,2.510405,20.200000,0.154075,10.716117,29.900000,300,0.897658,44.882893,2.796616,0.171642,reduce_kp
65,42,0.180587,0.074604,0.053040,42.997781,0.100000,300,0.000000,1.330307,19.000000,0.090941,9.663688,29.900000,300,0.859956,42.997781,1.546949,0.105751,reduce_ki
66,42,1.068951,0.307745,0.073905,19.732405,0.100000,300,0.000000,0.048537,5.800000,0.000128,1.934197,29.900000,300,0.500000,19.732405,0.097074,0.000256,no_change
67,42,1.017119,0.246239,0.122336,44.616992,0.100000,300,0.000000,0.000000,13.800000,0.000344,10.149201,29.900000,300,0.892340,44.616992,0.000000,0.000386,increase_kp
68,42,0.819374,0.002738,0.163421,23.981363,0.100000,300,0.000000,0.000000,7.400000,0.046152,2.908224,29.900000,300,0.500000,23.981363,0.000000,0.092305,no_change
69,42,0.829728,0.328626,0.026858,18.462860,0.100000,300,0.000000,0.107654,5.400000,0.000014,1.695844,29.900000,300,0.500000,18.462860,0.215307,0.000028,no_change
70,42,0.217740,0.193628,0.054470,33.144895,0.100000,300,0.000000,1.567599,15.700000,0.009814,5.765170,29.900000,300,0.662898,33.144895,2.364767,0.014805,reduce_kp
71,42,0.889373,0.071259,0.126848,22.919517,0.100000,300,0.000000,0.014288,7.000000,0.003743,2.621631,29.900000,300,0.500000,22.919517,0.028575,0.007486,no_change
72,42,0.637385,0.316868,0.169221,17.768954,0.100000,300,0.000000,0.373533,5.400000,0.000002,1.614734,29.900000,300,0.500000,17.768954,0.747066,0.000005,reduce_ki
73,42,0.565933,0.096838,0.000709,38.133577,0.100000,300,0.000000,0.000000,11.700000,0.001566,7.360999,29.900000,300,0.762672,38.133577,0.000000,0.002054,no_change
74,42,0.800825,0.091684,0.148246,31.550413,0.100000,300,0.000000,0.012850,9.700000,0.002724,5.006420,29.900000,300,0.631008,31.550413,0.020365,0.004317,no_change
75,42,0.570456,0.003384,0.015049,41.493192,0.100000,300,0.000000,0.000000,12.800000,0.201193,8.862270,29.900000,300,0.829864,41.493192,0.000000,0.242441,increase_kp
76,42,1.094321,0.190957,0.166919,32.475287,0.100000,300,0.000000,0.022842,9.800000,0.001719,5.302667,29.900000,300,0.649506,32.475287,0.035168,0.002647,no_change
77,42,0.262903,0.044606,0.061652,41.969445,0.100000,300,0.000000,0.294704,13.700000,0.064052,9.076383,29.900000,300,0.839389,41.969445,0.351093,0.076308,increase_kp
78,42,0.975735,0.301246,0.179785,21.302296,0.100000,300,0.000000,0.129975,6.400000,0.000200,2.271536,29.900000,300,0.500000,21.302296,0.259950,0.000401,no_change
79,42,0.374483,0.035978,0.156023,41.524041,0.100000,300,0.000000,0.069571,13.600000,0.036998,8.836153,29.900000,300,0.830481,41.524041,0.083772,0.044550,increase_kp
80,42,0.547015,0.217232,0.030911,42.896430,0.100000,300,0.000000,0.104514,13.300000,0.000447,9.373982,29.900000,300,0.857929,42.896430,0.121821,0.000522,increase_kp
81,42,1.051066,0.341672,0.162154,41.442486,0.100000,300,0.000000,0.041387,12.700000,0.000661,8.723171,29.900000,300,0.828850,41.442486,0.049933,0.000798,increase_kp
82,42,0.127265,0.257798,0.066437,42.924477,0.100000,300,0.000000,2.254770,18.800000,0.049332,9.749550,29.900000,300,0.858490,42.924477,2.626439,0.057464,reduce_kp
83,42,0.982459,0.302422,0.162150,23.004171,0.100000,300,0.000000,0.099287,6.900000,0.000203,2.646102,29.900000,300,0.500000,23.004171,0.198575,0.000407,no_change
84,42,0.966112,0.037833,0.174433,40.757798,0.100000,300,0.000000,0.000000,12.500000,0.057551,8.470600,29.900000,300,0.815156,40.757798,0.000000,0.070601,increase_kp
85,42,0.344677,0.285805,0.092061,24.155726,0.100000,300,0.000000,0.947138,13.100000,0.000136,3.073390,29.900000,300,0.500000,24.155726,1.894275,0.000273,reduce_ki
86,42,0.974880,0.079658,0.004733,20.793894,0.100000,300,0.000000,0.000000,6.100000,0.001379,2.145222,29.900000,300,0.500000,20.793894,0.000000,0.002757,no_change
87,42,0.461088,0.302524,0.193378,23.373750,0.100000,300,0.000000,0.786232,11.700000,0.000194,2.847261,29.900000,300,0.500000,23.373750,1.572465,0.000387,reduce_ki
88,42,0.805630,0.139887,0.196230,31.086472,0.100000,300,0.000000,0.074168,9.600000,0.005357,4.871359,29.900000,300,0.621729,31.086472,0.119294,0.008617,no_change
89,42,1.133161,0.040370,0.194080,20.357034,0.100000,300,0.000000,0.000000,6.100000,0.003160,2.062301,29.900000,300,0.500000,20.357034,0.000000,0.006319,no_change
90,42,1.158788,0.092913,0.021681,28.036913,0.100000,300,0.000000,0.000000,8.400000,0.006951,3.935636,29.900000,300,0.560738,28.036913,0.000000,0.012397,no_change
91,42,0.901400,0.109787,0.121242,30.342692,0.100000,300,0.000000,0.004059,9.200000,0.000725,4.618288,29.900000,300,0.606854,30.342692,0.006688,0.001195,no_change
92,42,0.523715,0.201806,0.050945,36.263559,0.100000,300,0.000000,0.180508,11.200000,0.000175,6.659535,29.900000,300,0.725271,36.263559,0.248884,0.000242,no_change
93,42,0.101860,0.323951,0.107690,36.582900,0.100000,300,0.000000,2.522214,20.900000,0.027554,7.465729,29.900000,300,0.731658,36.582900,3.447258,0.037660,reduce_kp
94,42,0.916145,0.234720,0.072844,17.099214,0.100000,300,0.000000,0.074394,5.100000,0.000305,1.455676,29.900000,300,0.500000,17.099214,0.148788,0.000609,no_change
95,42,0.830661,0.115570,0.062783,40.440458,0.100000,300,0.000000,0.000000,12.400000,0.007621,8.304459,29.900000,300,0.808809,40.440458,0.000000,0.009423,increase_kp
96,42,0.891730,0.105113,0.061857,27.251787,0.100000,300,0.000000,0.000000,8.200000,0.000877,3.712345,29.900000,300,0.545036,27.251787,0.000000,0.001609,no_change
97,42,0.542640,0.103479,0.025458,27.613390,0.100000,300,0.000000,0.065059,8.500000,0.002675,3.830181,29.900000,300,0.552268,27.613390,0.117804,0.004843,no_change
98,42,1.134400,0.237061,0.180561,33.465447,0.100000,300,0.000000,0.038435,10.100000,0.001689,5.638081,29.900000,300,0.669309,33.465447,0.057425,0.002523,no_change
99,42,0.431045,0.191778,0.000081,23.607412,0.100000,300,0.000000,0.296462,7.200000,0.000001,2.807357,29.900000,300,0.500000,23.607412,0.592924,0.000003,no_change
100,42,0.572877,0.202995,0.130941,28.949646,0.100000,300,0.000000,0.249736,9.000000,0.000082,4.234583,29.900000,300,0.578993,28.949646,0.431328,0.000141,no_change
101,42,0.586376,0.074795,0.094637,42.035425,0.100000,300,0.000000,0.000000,13.100000,0.004611,8.998391,29.900000,300,0.840708,42.035425,0.000000,0.005484,increase_kp
102,42,0.975627,0.059392,0.016959,30.463560,0.100000,300,0.000000,0.000000,9.100000,0.018867,4.669446,29.900000,300,0.609271,30.463560,0.000000,0.030967,no_change
103,42,0.796235,0.117316,0.163685,37.534144,0.100000,300,0.000000,0.021584,11.500000,0.003739,7.130416,29.900000,300,0.750683,37.534144,0.028753,0.004981,no_change
104,42,0.840075,0.078624,0.039826,15.732762,0.100000,300,0.000000,0.018789,4.700000,0.002905,1.228370,29.900000,300,0.500000,15.732762,0.037578,0.005811,no_change
105,42,0.369327,0.166298,0.169948,17.184847,0.100000,300,0.000000,0.861087,14.400000,0.007311,1.734489,29.900000,300,0.500000,17.184847,1.722175,0.014622,reduce_ki
106,42,0.555885,0.220418,0.038887,35.890628,0.100000,300,0.000000,0.164454,11.000000,0.000151,6.515568,29.900000,300,0.717813,35.890628,0.229104,0.000210,no_change
107,42,0.643815,0.085395,0.131212,15.166345,0.100000,300,0.000000,0.106470,4.800000,0.007343,1.175943,29.900000,300,0.500000,15.166345,0.212941,0.014685,no_change
108,42,0.926061,0.269516,0.021317,27.754386,0.100000,300,0.000000,0.023443,8.300000,0.000136,3.849953,29.900000,300,0.555088,27.754386,0.042233,0.000245,no_change
109,42,0.293475,0.335288,0.103592,16.506552,0.100000,300,0.000000,1.411425,-1.0,1.361195,2.459315,29.900000,300,0.500000,16.506552,2.822850,2.722391,increase_ki
110,42,0.374118,0.296918,0.091292,39.042498,0.100000,300,0.000000,0.709372,12.100000,0.000161,7.784039,29.900000,300,0.780850,39.042498,0.908461,0.000207,reduce_ki
111,42,0.834336,0.345762,0.119090,43.501188,0.100000,300,0.000000,0.092581,13.400000,0.000397,9.641420,29.900000,300,0.870024,43.501188,0.106412,0.000457,increase_kp
112,42,1.080569,0.214428,0.143855,30.143345,0.100000,300,0.000000,0.026118,9.100000,0.001101,4.557297,29.900000,300,0.602867,30.143345,0.043322,0.001827,no_change
113,42,1.013626,0.191755,0.179442,37.309663,0.100000,300,0.000000,0.014041,11.400000,0.001271,7.035937,29.900000,300,0.746193,37.309663,0.018817,0.001703,no_change
114,42,0.622142,0.090717,0.049448,34.129843,0.100000,300,0.000000,0.005768,10.500000,0.000920,5.870505,29.900000,300,0.682597,34.129843,0.008450,0.001348,no_change
115,42,0.942395,0.182455,0.125350,23.237923,0.100000,300,0.000000,0.048450,7.000000,0.001359,2.697250,29.900000,300,0.500000,23.237923,0.096900,0.002718,no_change
116,42,0.185232,0.100005,0.054343,24.591287,0.100000,300,0.000000,1.663332,18.300000,0.035905,3.454426,29.900000,300,0.500000,24.591287,3.326664,0.071810,reduce_kp
117,42,0.694167,0.048431,0.046252,35.818494,0.100000,300,0.000000,0.000000,10.900000,0.027198,6.500806,29.900000,300,0.716370,35.818494,0.000000,0.037966,no_change
118,42,0.877061,0.022480,0.081520,31.278334,0.100000,300,0.000000,0.000000,9.500000,0.043836,4.944948,29.900000,300,0.625567,31.278334,0.000000,0.070074,no_change
119,42,0.557352,0.072392,0.084029,42.145154,0.100000,300,0.000000,0.000000,13.100000,0.003476,9.046219,29.900000,300,0.842903,42.145154,0.000000,0.004124,increase_kp
